English,Danish,Match,Sim_Score
"""After breakfast we went outside on deck to fish.","""Bagefter gik vi på dækket, hvor jeg fangede et par torsk.",Perfect Match,0.7459509372711182
"""As museum director I am extremely excited about the arrangement with Thrane & Thrane.",”Som direktør for Vikingeskibsmuseet er jeg utroligt glad for aftalen med Thrane & Thrane.,Perfect Match,0.7484296560287476
"""But haven't you forgotten the most important bit...?!""","""Men du har jo glemt det vigtigste...?!""",Perfect Match,0.7768659591674805
"""At the Viking Ship Museum we have moved the research out to the boatyard and out at sea.",”Men kom dog ned på Vikingeskibsmuseet og fornem den helt særlige stemning omkring dette projekt.,No Match,0.5917789936065674
"""Espings"" were used for travel on the lakes and rivers of inner Finland.","Hånd, sprog og stil kan vise identisk ophavsmand.",English Match,0.10943055152893066
"""But you should come to the Viking Ship Museum and sense the very special mood around this project.",Espingerne blev brugt til færdsel på søer og vandløb i det indre Finland.,English Match,0.21516208350658417
"""Hand"", language and style can point to identical author.","""Jeg kender Danmark for to ting; Muhammed-krisen og Havhingsten"".",English Match,0.20499548316001892
"When we get close, we will decide whether the ship and crew are in a state to go on.","Når vi nærmer os, vurderer vi om skib og mandskab er i form til at fortsætte.",No Match,0.8137542009353638
"""It's a lump of amber the size of a chicken egg - it's just come up - and it's been worked, it has clear incisions and a drilled hole, I can't talk more now - I'll send photos!""","”At dømme ud fra de mange spørgsmål, jeg modtager, er det hævet over enhver tvivl, at mange vil stå langs Kattegats strande og håbe på et glimt af Havhingsten i det fjerne.",English Match,0.3645046055316925
"""Long swords ""May the ship be easy for the oars, fast from the wind, but do not run from its skipper""... ""My stomach turns ones in a while when I realize that we still need 7, 5 mio.kr in our budget.","På togtet til Dublin kommer vi nord og vest for Skotland ud i farvande, der er kendte for tåge, regn og barske vinde... en noget anden kop te end en norsk skærgård på en solbeskinnet midsommerdag.",No Match,0.24645794928073883
"""Oh, yes,"" I replied, adding: ""I've also been member of the crew on board the Sea Stallion.""","""Nå ja,"" føjede jeg til: ""Jeg har også været gast om bord på Havhingsten"". """,English Match,0.7374090552330017
"""One has to admit, that the project suddenly took a different direction than what was planned.","""Man må sige, at projektet pludselig har taget en noget anden drejning, end det oprindeligt var tænkt. """,English Match,0.9541091322898865
"""One very big challenge in taking on new crew is that we don't have a ship to train with.","En helt stor udfordring ved at tage nye besætningsmedlemmer ind, er at vi ikke har et skib at træne med.",English Match,0.98302161693573
"""Ottemannafar"" from Koltri, 1970 ""Rather a lot of the crew who took part in the seven-week long crossing had been members since the launch in 2004 and that required up to 120 days of preparation and sailing - including 6 weeks' training in the previous two years.","Ottemannafar fra Koltri, 1970 ""Rigtig mange af de besætningsmedlemmer som deltog i det syv uger lange togt i sommer, har været med siden søsætningen i 2004 og det har krævet op mod 120 dages forberedelse og sejlads - herunder 6 ugers træningssejlads i de forudgående to år.",No Match,0.9482248425483704
"""Rather a lot of the crew who took part in the seven-week long crossing had been members since the launch in 2004 and that required up to 120 days of preparation and sailing – including 6 weeks’ training in the previous two years.","Rigtig mange af de besætningsmedlemmer som deltog i det syv uger lange togt i sommer, har været med siden søsætningen i 2004 og det har krævet op mod 120 dages forberedelse og sejlads - herunder 6 ugers træningssejlads i de forudgående to år.",English Match,0.9443398118019104
"""Welcome on board.","""Vi har spurgt EF-domstolen, om ikke det stiller sagen anderledes, at skibet jo givetvis blev bygget af vikinger bosat i Irland.",English Match,0.15895341336727142
"""Remember – the project is not just the biggest maritime archaeological experiment ever, it is also innovative in scientific research and communication.","Kopi af sekskeiping fra Sunnfjord, 1860 ""Lige siden Skuldelev-skibene blev udgravet i 1960'erne har vi jo betragtet dem som ædelstene i den danske kulturarv.",English Match,0.32060348987579346
"""Sekskeiping"" from Sunnfjord, 1860 ""Since the Skuldelev-ships were excavated in the 1960ies we have regarded them as precious stones of the Danish cultural heritage.","Kopi af sekskeiping fra Sunnfjord, 1860 ""Lige siden Skuldelev-skibene blev udgravet i 1960'erne har vi jo betragtet dem som ædelstene i den danske kulturarv.",No Match,0.9428269863128662
"""Sour, mushy, heavy bread with the strangest fillings.""","Noget ”surt, svampet, tungt brød med de underligste ting på”.",Perfect Match,0.8788139820098877
"""Splash ware"" ceramic bowl from southern Iraq.","”Splash ware"" keramisk skål fra det sydlige Irak.",Perfect Match,0.9797788262367249
"""That fact cannot be hidden"", shouted Tostig back, ""you can find him here"".","”Det kan ikke skjules”, råbte Tostig tilbage, ”her kan I finde ham.”",Perfect Match,0.9376368522644043
"""That's because the Limfjorden is not deep enough for the danish escort ship, which is escorting the Sea Stallion all the way to the Orkneys,"" Preben Rather Sørensen explains.","”Det skyldes, at vores danske følgeskib - som følger Havhingsten den lange vej til Orkneyøerne - stikker for dybt til at kunne sejle gennem Limfjorden,” forklarer Preben Rather Sørensen.",Perfect Match,0.8652529716491699
'From dream to reality' ended the great experiemtal archaeology project 'Thoroughbred of the Sea' and put a new perspective on Viking Age longships.,I det hele taget har 'Cable One' vist adskillige kvaliteter.,English Match,-0.007145558949559927
"""The exhibition will include some of the most important artefacts from Viking Age Denmark"", explains Flemming Just, director of Sydvestjyske Museer.","Udstillingen kommer til at vise nogle af de fornemste genstande fra vikingetidens Danmark"", siger direktør for Sydvestjyske Museer Flemming Just.",English Match,0.9653549790382385
"""The first target is to get to Lands End.",”I første omgang er ambitionen at nå Lands End.,No Match,0.8801066875457764
'Sea Stallion from Glendalough' is the largest reconstructed Viking ship that has been built to date.,"'Dragons of the Northern Seas' er skabt på initiativ af museerne i de to venskabsbyer, Suzhou og Esbjerg.",English Match,0.36855775117874146
"There is a good steady north-westerly wind that can take us south"", says skipper Carsten Hvid.","Der er en god jævn nordvestlig vind, som kan bære os sydover”, siger skipper Carsten Hvid.",No Match,0.9257909655570984
"""The interest for the departure of the Sea Stallion is gigantic.",”Interessen for at følge Havhingstens afsejling er kolossal. ”,English Match,0.4699877202510834
"'Sea Stallion' is the world's longest reconstruction of a Viking ship, and the ship became world famous when it sailed with its 65-strong crew from the Viking Ship Museum in Roskilde to Dublin and back again in 2007-2008.","""Ofram, Sigurds søn, ristede disse runer"" ”Vores resultater er baseret på mange års erfaringer og kendskab til traditionelle småbåde i hele Skandinavien og ikke mindst de maritime håndværk, der ligger bag”, slutter Vibeke Bischoff, ”men, vi kan ikke sige, at vi har det endegyldige svar på, hvordan Osebergskibet så ud, kun at vi har et godt bud.",English Match,0.5153796076774597
"""The new Storstrøms connection follows directly in the path of Stone Age people.",”Interessen for at følge Havhingstens afsejling er kolossal. ”,English Match,0.24918249249458313
"""The very day that was supposed to be a day of celebration - Sunday 1st July - has become a day of sorrow for we have to say good bye to Sea Stallion forever.","""Det, der skulle have været en festdag søndag den 1. juli, er nu i stedet en sorgens dag, hvor vi skal tage afsked med Havhingsten for altid.",Perfect Match,0.9007729887962341
"""The Viking Age was ignited by the art of building seaworthy sailing ships and the skills to sail them on the open sea.","""Det var kunsten at bygge sødygtige,sejlførende skibe og fortroligheden med at sejle på åbent hav, som skabte vikingetiden.",Perfect Match,0.9451406598091125
"""The Vikings were seafarers and their fantastic ability to cross oceans to plunder, conquer, trade and colonise three of the world's continents, transformed the world during the period from 800 - 1050.","""Vikingerne var søfarere, og deres fantastiske evne til at krydse havene for at plyndre, erobre, handle og bosætte sig i tre verdensdele, forandrede verden i perioden 800-1050.",Perfect Match,0.9737018942832947
"""We have selected a range of exquisite examples of Viking Age works of art of silver and gold, to demonstrate how advanced Scandinavian design already was, 1,000 years ago"", says Søren Sindbæk, professor at Aarhus University.","""Vi har også gjort gældende, at EU's lovgivning umuligt kan have juridisk gyldighed for et skib, der blev bygget i 1042 - cirka 900 år før Romtraktaten blev skrevet.",English Match,0.3875422775745392
"""We hope there are, of course.","Så er der helt stille; ""Vi har en spændende dag foran os.",English Match,0.36337992548942566
"""What have the Skuldelev ship-find contributed to our knowledge of the Viking Age?""","“Vi har taget udgangspunkt i de drømme og den begejstring, der har formet museet siden fundet af Skuldelevskibene.",English Match,0.31711897253990173
- How was the building of a large warship organised?,(Tip: Du får brug for at udregne vinklen mellem skibets styrede kurs og vindretningen).,English Match,0.26971399784088135
"'Bloodshed', the Viking Ship Museum gave an insight into Viking depredations in the Rhineland and the tragic situation that became a reality for their victims.","""Hvor stopper skibet, så vi kan se det tæt på?"" spørger de Vikingeskibsmuseets medarbejdere.",English Match,0.42748209834098816
'Cable One' has several qualities important for the Sea Stallion.,"""Da jeg kom over på 'Cable One' blev jeg modtaget i et forrum.",English Match,0.3013768792152405
"'Dronningen' sank during its very first sea trial, which took place in windy conditions and at a speed of 8-10 knots.","Med særudstillingen 'Blodspor' gav Vikingeskibsmuseet indblik i vikingernes hærgen i Rhinlandet og den tragiske situation, der var virkelighed for overfaldenes ofre.",English Match,0.3898019790649414
"'Ofram the son of Sigurd carved these runes' 'Our results are based on many years experience with, and knowledge of, traditional small boats in all of Scandinavia, and of course, the maritime craftwork that they involve', concludes Vibeke Bischoff, 'However, we can't say that we have the definitive answer in terms of how the Oseberg Ship looked, only that we have a good suggestion.",'Fra drøm til virkelighed' afrundede det store eksperimental arkæologiske projekt 'Fuldblod på Havet' og satte Havhingstens forsøgsrejse i perspektiv til vikingetidens langskibe.,No Match,0.585048258304596
"'Our results are based on many years experience with, and knowledge of, traditional small boats in all of Scandinavia, and of course, the maritime craftwork that they involve', concludes Vibeke Bischoff, 'However, we can’t say that we have the definitive answer in terms of how the Oseberg Ship looked, only that we have a good suggestion.",'Fra drøm til virkelighed' afrundede det store eksperimental arkæologiske projekt 'Fuldblod på Havet' og satte Havhingstens forsøgsrejse i perspektiv til vikingetidens langskibe.,English Match,0.5428062081336975
'Sea Stallion from Glendalough' was built at the Viking Ship Museum's boatyard from 2000 - 2004 and with a length of 30 meters is the world's largest Viking ship reconstruction.,"Hærmund Hårdøkse ristede disse runer"" ""Eg på eg"", ""fyr på eg"" (fyrretræsplanker på egespanter) eller ""lærk på eg"" har dog været det mest benyttede valg, til de danske klinkbyggede brugsbåde.",English Match,0.48546889424324036
'Sea Stallion' was built at the Viking Ship Museum's boatyard from 2000 - 2004 using copies of tools from the Viking Age and with the same techniques the Vikings used.,"”Vores resultater er baseret på mange års erfaringer og kendskab til traditionelle småbåde i hele Skandinavien og ikke mindst de maritime håndværk, der ligger bag”, slutter Vibeke Bischoff, ”men, vi kan ikke sige, at vi har det endegyldige svar på, hvordan Osebergskibet så ud, kun at vi har et godt bud.",English Match,0.5789978504180908
'This isn't an artefact you see often and is rarely found at settlement sites.,"Havhingsten fra Glendaglough' blev bygget på Vikingeskibsmuseets bådeværft i 2000-2004, og er med sin længde på 30 meter verdens længste rekonstruktion af et vikingeskib.",English Match,-0.044218216091394424
"'Within the next few years, the Museum plans to undertake another long voyage, and in order to do that, we need to have a crew that can tack with one hand in the dark, as the saying goes', says Søren Rasmussen, skipper on the summer voyage.","Havhingsten' er verden længste rekonstruktion af et vikingeskib, og skibet blev verdensberømt, da det med sin 65-mand store besætning sejlede fra Vikingeskibsmuseet i Roskilde til Dublin og retur i 2007-2008.",English Match,0.4193412661552429
"(*GF) Can be served gluten-free, without bread and with extra cabbage salad.","Havhingsten' blev bygget på Vikingeskibsmuseets bådeværft fra 2000 til 2004 med kopier af værktøj fundet fra vikingetiden og med de samme teknikker, som vikingerne gjorde brug af.",English Match,0.14082761108875275
"(Alternative solution: Open the downloaded data set in a GIS programme where you can see the route mapped at an even greater level of detail.) (Description and interpretation is of course an iterative process; you cannot, of course, examine authenticity and relations if you do not know what the text means).","Havhingsten' blev bygget på Vikingeskibsmuseets bådeværft fra 2000 til 2004 med kopier af værktøj fundet fra vikingetiden og med de samme teknikker, som vikingerne gjorde brug af.",No Match,0.26147377490997314
(Find stages with rowing and compare.) (Find the answer elsewhere on the website.),’Havhingsten’ blev navngivet af Hendes Majestæt Dronningen i 2004 og skibet kan fejre sit 10 års jubilæum under rejsen til Berlin.,No Match,0.003838989417999983
- a boat to hang 'behind' a large sailing ship.,"Når vi kigger på et arkæologisk fund, skal vi lade fundet tale.",English Match,0.021709414198994637
"- a local fjord dinghy - a trial voyage in a historic landscape - Abbaye Daoulas, France - According to the sources there was a very strict division of labour on board the ship.","Når vi kigger på et arkæologisk fund, skal vi lade fundet tale.",No Match,0.08877592533826828
- Compare the various parties involved in the Battle for England and consider the factors which resulted in the battles ending as they did.,"(Beskrivelse og fortolkning foregår naturligvis i en vekselvirkning; man kan jo ikke undersøge ægthed og slægtskabsforhold, hvis man ikke ved, hvad teksten betyder).",English Match,0.20875315368175507
- Compare the watches on a warship in Viking times with the duty roster onboard the Sea Stallion.,"(VINK: udskriv et solkompas for begge byer, og læg dem ovenpå hinanden).",English Match,0.173650324344635
"- Evaluate the troops of the two leaders - how many weapons, archers etc. did they have?","(Tip: Kig i log- og dagbøger og se, hvad der er foregået ombord på det pågældende tidspunkt).",English Match,0.07909631729125977
"- Evaluate the troops of the two leaders – how many weapons, archers etc. did they have?","(Tip: Kig i log- og dagbøger og se, hvad der er foregået ombord på det pågældende tidspunkt).",English Match,0.09010276198387146
- Exhibitions in Ireland and Great Britain - Find out what kind of watches there are onboard the Sea Stallion on the expedition to Dublin in 2007.,(Tip: Du får brug for at udregne den relative vindretning - vinklen mellem skibets styrede kurs og vindretningen).,No Match,0.0914493054151535
- How was a warship equipped and who was responsible for obtaining weapons for the ship?,(Tip: Du får brug for at udregne den relative vindretning - vinklen mellem skibets styrede kurs og vindretningen).,English Match,0.2278665453195572
- Imagine that you are a Viking or one of his opponents.,"- en jolle til at hænge ""bag på"" et stort sejlskib.",English Match,0.16278374195098877
"- in relation to the international research- and dissemination project on naval textiles, supported by the EU programmer Raphael.","Sammenlign de forskellige sider i Kampen om England og overvej, hvilke faktorer der gjorde at kampene endte som de gjorde?",English Match,0.09517340362071991
- produced in collaboration with the National Museum of Denmark.,- i samarbejde med Roskildes grønlandske venskabsby Nanortalik.,English Match,0.6368837952613831
